num,dt,sec,id,imgURL,imgFile,Android_imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
523,2013-12-17T08:19:07+0100,1492,B00000576_21I558_20131217_081907,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_523.jpg,g1_a2_sml_523.jpg,G1_1.jpg,1,1,4014,2,1,0.146,-1.006,0.605,-0.169,-0.31,-0.102,36899,50181,46039,65535,27.6,2,-33.98905,151.23106,-33.98905 151.23106,0,123,1.25,9.99,32.3,1.1,9.92,1.7,1,1.25,1.969,1,1.125,77.363,-91.49,319.12,0,,-33.98905667,151.23103,-33.9890566667 151.23103,123
534,2013-12-17T08:21:09+0100,1614,B00000587_21I558_20131217_082109,https://googledrive.com/host/0ByZPttHNHiZ0aWFpc0tKUmdzdUU/g1_a2_sml_534.jpg,g1_a2_sml_534.jpg,G1_1.jpg,1,1,4014,2,1,0.071,-0.84,0.086,-0.145,-0.321,-0.154,40188,53437,47857,65535,27.6,2,-33.9893,151.23215,-33.98930 151.23215,0,182,2.23,20.04,39.9,0.7,10.43,1.88,1,1.25,1.938,1,1.188,79.311,-90.59,110.89,0,,-33.98935333,151.2321067,-33.9893533333 151.232106667,182
609,2014-05-23T12:32:01+0000,68,B00000641_21I4N2_20140523_123201,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_609.jpg,g1_a1_sml_609.jpg,G1_2.jpg,2,1,4014,2,1,0.181,-0.932,0.015,-0.01,-0.881,-0.478,36315,42315,28673,65535,34,2,-33.98931,151.23253,-33.98931 151.23253,0,84,1.59,11.12,46.3,0.9,16.41,1.92,2,1.25,1.75,1,1.156,97.737,-86.46,352.41,0,,-33.98929,151.2325667,-33.98929 151.232566667,46
646,2014-05-23T12:35:49+0000,296,B00000678_21I4N2_20140523_123549,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_646.jpg,g1_a1_sml_646.jpg,G1_2.jpg,2,1,4014,2,1,0.061,-0.934,-0.145,0.067,-0.879,-0.238,43862,49256,31521,65535,22.2,2,-33.98904,151.23216,-33.98904 151.23216,0,213,1.91,13.34,52.4,1.2,13.26,2.07,1,1.25,1.719,1,1.313,102.97,-88.73,32.033,0,,-33.98909333,151.2321833,-33.9890933333 151.232183333,230
656,2014-05-23T12:37:18+0000,385,B00000688_21I4N2_20140523_123718,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_656.jpg,g1_a1_sml_656.jpg,G1_2.jpg,2,3,4014,2,1,0.105,-1.299,-0.19,-0.004,-0.903,-0.162,49378,57096,35449,65535,22.2,2,-33.98885,151.23151,-33.98885 151.23151,0,305,1.63,11.38,39.7,1.3,16.6,1.63,1,1.25,1.625,1,1.344,102.77,-86.13,239.58,0,,-33.98884667,151.2314867,-33.9888466667 151.231486667,305
666,2014-05-23T12:38:40+0000,467,B00000698_21I4N2_20140523_123839,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_666.jpg,g1_a1_sml_666.jpg,G1_2.jpg,2,1,4014,2,1,0.06,-0.944,-0.043,-0.31,-0.878,-0.502,37701,37746,22867,65535,36.3,2,-33.98836,151.23156,-33.98836 151.23156,0,291,0.37,2.98,39.1,0.9,14.17,1.81,1,1.25,1.438,1,1.688,90.437,-87.27,321.07,0,,-33.98831667,151.2315633,-33.9883166667 151.231563333,39
686,2014-05-23T12:40:49+0000,596,B00000718_21I4N2_20140523_124048,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_686.jpg,g1_a1_sml_686.jpg,G1_2.jpg,2,2,4014,2,1,0.157,-0.814,-0.211,-0.116,-0.899,-0.07,65535,65535,55973,65535,36.3,2,-33.98802,151.2312,-33.98802 151.23120,0,0,0.09,0.09,42.6,0.2,22,2.08,1,1.25,1.625,1,1.25,95.026,-83.86,268.47,2,,-33.98807333,151.2312367,-33.9880733333 151.231236667,0
703,2014-05-23T12:41:53+0000,660,B00000735_21I4N2_20140523_124153,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_703.jpg,g1_a1_sml_703.jpg,G1_2.jpg,2,2,4014,2,1,0.07,-0.767,0.109,-0.328,-0.894,-0.078,55479,65535,48376,65535,35.2,2,-33.98779,151.23151,-33.98779 151.23151,0,328,1.16,10.48,38.4,0.8,16.14,1.81,2,1.25,1.406,1,1.344,90.405,-98.68,46.231,2,,-33.98776,151.23149,-33.98776 151.23149,331
720,2014-05-23T12:43:22+0000,749,B00000752_21I4N2_20140523_124322,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_720.jpg,g1_a1_sml_720.jpg,G1_2.jpg,2,1,4014,2,1,-0.141,-0.919,-0.304,-0.078,-0.9,-0.25,65535,65535,65535,65535,40.3,2,-33.98759,151.23135,-33.98759 151.23135,0,0,0,0,30.9,1,15.74,1.74,0,1.25,1.531,1,1.313,105.82,-97.63,194.77,2,,-33.98759,151.23135,-33.98759 151.23135,0
738,2014-05-23T12:44:30+0000,817,B00000770_21I4N2_20140523_124430,https://googledrive.com/host/0ByZPttHNHiZ0NE5kNWZIajNxWlE/g1_a1_sml_738.jpg,g1_a1_sml_738.jpg,G1_2.jpg,2,1,4014,2,1,-0.032,-1.042,-0.199,-0.055,-0.887,-0.143,65535,65535,65535,65535,43.3,2,-33.98742,151.23138,-33.98742 151.23138,0,250,0.98,6.83,31,0.7,16.36,1.71,0,1.31,1.469,1,1.344,103.72,-92.09,224.84,0,,-33.98743333,151.2313633,-33.9874333333 151.231363333,180
